Protein,NET_FC_Phi,NET_FC_Pi,,,
AT5G13300.1,0,3.328163624,,,
AT5G14050.1,0,3.319518089,,,
AT3G55060.3,0,3.299251556,,,
AT3G05420.1,2.663128853,3.290970802,,,
AT1G04950.3,0,3.289266109,,,
AT3G63420.2,0,3.285021782,,,
AT1G56080.1,0,3.278419971,,,
AT2G43680.5,-2.875114441,3.276700497,,,
AT3G12270.1,0,3.263150215,,,
AT5G66055.1,0,3.253161907,,,
AT2G45540.6,2.193396568,3.247766495,,,
AT2G46980.1,0,3.246282101,,,
AT2G36570.1,0,3.214536667,,,
AT5G18230.3,3.511893272,3.184790611,,,
AT1G77130.1,0,3.178565979,,,
AT1G43700.1,0,3.169118881,,,
AT2G38610.2,3.085767746,3.168088913,,,
AT5G05170.1,3.842852592,3.167483807,,,
AT2G27900.2,-2.345040321,3.155385017,,,
AT5G42540.1,2.279226303,3.131958008,,,
AT3G19960.5,-1.907040596,3.129149437,,,
AT4G14340.1,0,3.121748924,,,
AT1G48920.1,4.099089622,3.121003151,,,
AT3G18600.1,0,3.120775223,,,
AT5G16910.1,1.7013731,3.11417675,,,
AT3G13290.1,-0.987129211,3.113718033,,,
AT4G34860.3,1.545670509,3.113419533,,,
AT2G41900.1,0,3.100041389,,,
AT5G44280.1,0,3.088641167,,,
AT3G45850.2,2.016309738,3.084797859,,,
AT5G21160.1,2.17604351,3.079224586,,,
AT2G39795.1,0,3.068814278,,,
AT3G53020.1,0,3.059259415,,,
AT2G27040.2,0,3.043577194,,,
AT2G35350.1,-1.070885658,3.035408497,,,
AT4G14310.1,0,3.032653332,,,
AT2G45520.1,0,3.031448364,,,
AT4G35300.5,-3.459564209,3.011900902,,,
AT2G38010.3,0,3.010479927,,,
AT3G48440.1,0,2.991030216,,,
AT1G73350.6,0,2.989056587,,,
AT2G37050.1,0,2.968137741,,,
AT3G60380.1,0.776908875,2.959224224,,,
AT4G29440.2,-1.751407623,2.95222187,,,
AT2G28000.1,0,2.93510437,,,
AT3G26370.2,0,2.904803276,,,
AT5G16720.1,0,2.90185833,,,
AT4G26650.2,2.247058868,2.87532568,,,
AT5G53440.2,-2.234726906,2.87361145,,,
AT5G22030.1,0,2.863178253,,,
AT5G27330.1,-1.140285492,2.853061676,,,
AT1G05910.1,0,2.82463026,,,
AT1G43710.1,0,2.822977543,,,
AT1G55620.2,4.358727455,2.822004318,,,
AT5G57110.3,-0.579975128,2.81926775,,,
AT3G02830.2,0,2.804379463,,,
AT5G20490.3,2.097252369,2.797025681,,,
