Protein,NET_FC_Phi,NET_FC_Pi,,,
AT1G34120.5,0,-2.052487373,,,
AT5G49400.1,0,-2.057810783,,,
AT1G08680.5,-2.395260811,-2.063388348,,,
AT5G50350.1,-1.843414307,-2.072070122,,,
AT5G16210.1,0,-2.08211422,,,
AT2G30530.1,0,-2.090898514,,,
AT5G16260.1,0,-2.099110603,,,
AT4G12640.4,-1.579476357,-2.114861488,,,
AT1G53310.3,-1.783869743,-2.123139381,,,
AT1G08420.2,0,-2.135110855,,,
AT5G47880.2,0,-2.156369209,,,
AT2G38770.1,0,-2.169315338,,,
AT1G03080.3,-2.653512001,-2.170329094,,,
AT3G12250.7,-1.384504318,-2.17754364,,,
AT4G35785.2,0,-2.177986145,,,
AT1G47970.1,-1.583520889,-2.180838585,,,
AT3G48530.1,-1.083562851,-2.181711197,,,
AT2G02170.6,-1.470604897,-2.199222565,,,
AT3G22810.2,-4.245211601,-2.223959446,,,
AT5G47010.1,0,-2.299712658,,,
AT3G27530.1,0,-2.302824974,,,
AT1G64880.1,0,-2.312296867,,,
AT3G62300.1,0,-2.337866783,,,
AT5G40450.2,-3.495196342,-2.356746674,,,
AT3G10030.2,-2.630470276,-2.362626076,,,
AT2G27090.2,0,-2.364469528,,,
AT2G42590.1,0,-2.375741005,,,
AT3G27550.3,2.086057663,-2.377801895,,,
AT1G12920.1,1.902871132,-2.386734009,,,
AT5G47690.4,-1.737375259,-2.393328667,,,
AT3G03660.1,-2.90799427,-2.406624794,,,
AT3G55560.1,0,-2.418377876,,,
AT5G65770.3,-2.109419823,-2.41840744,,,
AT2G39260.1,0,-2.423461914,,,
AT3G29310.1,0,-2.455589771,,,
AT3G57300.3,-1.610861778,-2.462245941,,,
AT2G02800.2,-3.384942055,-2.466090202,,,
AT3G59110.1,-2.74313736,-2.484169006,,,
AT2G34680.1,-1.953761101,-2.509741783,,,
AT4G32420.2,1.955920219,-2.558334351,,,
AT2G41705.4,-2.601994514,-2.591747761,,,
AT1G08060.2,-3.141415596,-2.599294186,,,
AT1G55310.1,1.850270271,-2.604547024,,,
AT5G64200.2,-2.197088242,-2.607224941,,,
AT4G32200.2,0,-2.607952118,,,
AT3G14940.2,-2.423056602,-2.636713982,,,
AT2G38410.1,-4.215352058,-2.641180038,,,
AT2G41740.2,0,-2.684950829,,,
AT5G20190.1,0,-2.69240284,,,
AT1G80680.1,-3.230216026,-2.715911865,,,
AT3G13040.3,-3.224184036,-2.743617535,,,
AT1G61040.3,0,-2.759875298,,,
AT4G22120.6,-1.235327721,-2.766050339,,,
AT1G50260.2,-1.211923599,-2.771167755,,,
AT3G06480.1,-1.790606022,-2.78295517,,,
AT4G36980.2,0,-2.785747528,,,
AT3G18390.1,0,-2.794185638,,,
AT3G53500.3,-1.36025238,-2.818480968,,,
AT5G60300.2,-3.209611893,-2.831881523,,,
AT2G02790.3,-4.074954987,-2.876127243,,,
AT1G73450.1,0,-2.942082882,,,
AT1G15940.1,-1.981127739,-2.946594238,,,
AT3G20250.1,-3.256362915,-2.95273447,,,
AT5G63130.2,-2.95496273,-2.955956459,,,
AT5G09960.2,-5.005888939,-3.041338921,,,
AT4G02800.1,-3.457725525,-3.041434288,,,
AT5G60550.1,-1.966587067,-3.056471825,,,
AT3G52240.1,0,-3.065364838,,,
AT1G20696.4,0,-3.130861282,,,
AT4G10120.3,-1.45963192,-3.163323879,,,
AT4G15130.1,0,-3.182731628,,,
AT4G02710.1,0,-3.188774109,,,
AT4G34340.1,-3.446145058,-3.200983047,,,
AT1G78650.1,-5.278708458,-3.254980087,,,
AT5G62820.1,-3.097071648,-3.291947365,,,
AT3G26490.2,-2.614548683,-3.308050156,,,
AT1G01510.1,0,-3.312188148,,,
AT5G23680.1,0,-3.314269066,,,
AT5G51150.1,-2.989916801,-3.329768181,,,
AT4G06634.2,-2.059072495,-3.370388985,,,
AT1G15240.5,-5.124197006,-3.383108139,,,
AT1G54710.2,-3.902220726,-3.424430847,,,
AT2G33490.4,-5.086194992,-3.434625626,,,
AT4G04340.3,-3.875173569,-3.440301895,,,
AT2G20950.2,0,-3.471469879,,,
AT5G23890.2,0,-3.52229023,,,
AT3G17650.2,-4.423246384,-3.609513283,,,
AT4G12620.1,0,-3.823019028,,,
AT3G13570.1,0,-3.992489815,,,
AT1G59910.1,0,-3.996422768,,,
AT5G57160.2,-3.334199905,-4.015397072,,,
AT1G70640.1,-2.22307682,-4.099009037,,,
AT3G58760.1,0.040457249,-4.115245819,,,
AT4G02070.2,-4.642328262,-4.190831184,,,
AT1G06410.3,0,-4.284342766,,,
AT5G09400.1,0,-4.387560844,,,
AT1G24460.2,-6.155696869,-4.800065994,,,
AT1G17680.3,0,-4.864974499,,,
AT4G36850.4,-5.653635979,-5.046070099,,,
AT2G16070.2,0,-5.050393105,,,
AT5G57370.1,0,-5.672070503,,,
